"","source","dim","field","water","famly","species","type","prey_cellularity","vert","major_grouping_prey_1","major_grouping_prey_2","prey","prey_species","prey_type","data_type","replace_prey","starvation_time","temp","interference","preds_per_arena","arena_2d","arena_3d","pred_mass","pred_mass_source_code","pred_mass_reg_code","prey_mass","prey_mass_source_code","prey_mass_reg_code","a_units","mean_r2_of_fits","a","a_low","a_hi","h","h_low","h_hi","n_boots","notes_1","notes_2","alien","aspect_ratio","log_arena","log_pred","log_prey","log_a","log_h","log_se_a","log_se_h","duration","duration_notes","units","locale","country","country_notes","probable_duration","duration_sec","log_duration"
"316","Vollset and Bailey 2011 J OF FISH BIOLOGY",3,NA,"Marine","Gasterosteiformes","Gasterosteus aculeatus","Wild caught","Metazoan","Invertebrate","Crustacean","Branchiopod","Brine shrimp","Artemia spp.",NA,"Raw data","N",48,15,NA,"7",NA,20000,28.9,"Original species length","Species",NA,NA,NA,"m^3 per pred per day",0.84,0.125,0.0967,0.162,0.000607,0.000561,0.000644,200,"Clear water",NA,"Y",2.03993,9.90348755253613,3.36384159511839,NA,-2.07944154167984,-7.40698176690478,-4.25804065489289,-10.6800163420351,1,NA,"npm","Washington","USA",NA,NA,60,4.0943445622221
"317","Vollset and Bailey 2011 J OF FISH BIOLOGY",3,NA,"Marine","Gasterosteiformes","Gasterosteus aculeatus","Wild caught","Metazoan","Invertebrate","Crustacean","Branchiopod","Brine shrimp","Artemia spp.",NA,"Raw data","N",48,15,NA,"1",NA,20000,28.9,"Original species length","Species",NA,NA,NA,"m^3 per pred per day",0.68,0.189,0.137,0.262,0.000657,0.000597,0.000748,200,"Clear water",NA,"Y",2.03993,9.90348755253613,3.36384159511839,NA,-1.66600826392249,-7.32782653947966,-3.64965874096066,-10.4143131763021,1,NA,"npm","Washington","USA",NA,NA,60,4.0943445622221
"318","Vollset and Bailey 2011 J OF FISH BIOLOGY",3,NA,"Marine","Gasterosteiformes","Gasterosteus aculeatus","Wild caught","Metazoan","Invertebrate","Crustacean","Branchiopod","Brine shrimp","Artemia spp.",NA,"Raw data","N",48,15,NA,"7",NA,20000,28.9,"Original species length","Species",NA,NA,NA,"m^3 per pred per day",0.91,0.0743,0.0603,0.0938,0.00064,0.000562,0.000718,200,"Turbid water, 6.8<U+00B1>2.2 beam attenuation coefficient (m-1)",NA,"Y",2.03993,9.90348755253613,3.36384159511839,NA,-2.59964432725842,-7.35404238161056,-4.96184512992682,-10.1519489118346,1,NA,"npm","Washington","USA",NA,NA,60,4.0943445622221
"319","Vollset and Bailey 2011 J OF FISH BIOLOGY",3,NA,"Marine","Gasterosteiformes","Gasterosteus aculeatus","Wild caught","Metazoan","Invertebrate","Crustacean","Branchiopod","Brine shrimp","Artemia spp.",NA,"Raw data","N",48,15,NA,"1",NA,20000,28.9,"Original species length","Species",NA,NA,NA,"m^3 per pred per day",0.7,0.117,0.0848,0.161,0.000674,0.000578,0.000764,200,"Turbid water, 6.8<U+00B1>2.2 beam attenuation coefficient (m-1)",NA,"Y",2.03993,9.90348755253613,3.36384159511839,NA,-2.14558134418438,-7.30228044705197,-4.12893600699172,-9.94430954705638,1,NA,"npm","Washington","USA",NA,NA,60,4.0943445622221
"320","Alexander et al 2015 ENVIRONMENTAL BIOLOGY OF FISHES",3,NA,"Fresh","Perciformes","Micropterus salmoides","Juvenile, wild caught","Metazoan","Vertebrate","Fish","Poeciliidae","Guppy","Poecilia reticulata","female","Mean","N",24,23,NA,"1",NA,3e+05,7840,"Original species length","Species",53.3,"Original species length","Species","m^3 per pred per day",0.37,1.49,0.653,4.42,0.0177,0.00721,0.0302,200,"High habitat complexity, 2700 polyethylene strips (40mmx15mm) per m2",NA,"Y",1.215755,12.6115377536383,8.96699411334445,3.9759363311718,0.398776119957368,-4.03419063940235,-0.871078389052607,-5.25048003713388,1,NA,"n","Grahamstown","South Africa",NA,NA,60,4.0943445622221
"321","Alexander et al 2015 ENVIRONMENTAL BIOLOGY OF FISHES",3,NA,"Fresh","Perciformes","Micropterus salmoides","Juvenile, wild caught","Metazoan","Vertebrate","Fish","Poeciliidae","Guppy","Poecilia reticulata","female","Mean","N",24,23,NA,"1",NA,3e+05,7840,"Original species length","Species",53.3,"Original species length","Species","m^3 per pred per day",0.53,4.23,3.35,5.35,0.0144,0.0126,0.0168,200,"Medium habitat complexity, 1800 polyethylene strips (40mmx15mm) per m2",NA,"Y",1.215755,12.6115377536383,8.96699411334445,3.9759363311718,1.44220199305819,-4.24052707240018,-0.82098055206983,-7.01311579463996,1,NA,"n","Grahamstown","South Africa",NA,NA,60,4.0943445622221
"322","Alexander et al 2015 ENVIRONMENTAL BIOLOGY OF FISHES",3,NA,"Fresh","Perciformes","Micropterus salmoides","Juvenile, wild caught","Metazoan","Vertebrate","Fish","Poeciliidae","Guppy","Poecilia reticulata","female","Mean","N",24,23,NA,"1",NA,3e+05,7840,"Original species length","Species",53.3,"Original species length","Species","m^3 per pred per day",0.7,3.35,2.19,4.7,0.0113,0.00781,0.0149,200,"Low habitat complexity, 900 polyethylene strips (40mmx15mm) per m2",NA,"Y",1.215755,12.6115377536383,8.96699411334445,3.9759363311718,1.20896034583698,-4.48295255326384,-0.544727175441672,-6.35100072332775,1,NA,"n","Grahamstown","South Africa",NA,NA,60,4.0943445622221
"323","Alexander et al 2015 ENVIRONMENTAL BIOLOGY OF FISHES",3,NA,"Fresh","Perciformes","Micropterus salmoides","Juvenile, wild caught","Metazoan","Vertebrate","Fish","Poeciliidae","Guppy","Poecilia reticulata","female","Mean","N",24,23,NA,"1",NA,3e+05,7840,"Original species length","Species",53.3,"Original species length","Species","m^3 per pred per day",0.7,1.85,0.884,3.29,0.0109,0.0044,0.0187,200,"Zero habitat complexity",NA,"Y",1.215755,12.6115377536383,8.96699411334445,3.9759363311718,0.615185639090233,-4.51899248974704,-0.727738625329564,-5.72910028264049,1,NA,"n","Grahamstown","South Africa",NA,NA,60,4.0943445622221
"324","Ohlberger et al 2008 CJFAS",3,NA,"Fresh","Salmoniformes","Coregonus albula","Juvenile","Metazoan","Invertebrate","Crustacean","Cladoceran","Water flea","Daphnia magna","Adult?","Raw data","N",NA,8,NA,"1",NA,80000,6770,"Original species length","Species",0.869,"Original species length","Order","m^3 per pred per day",0.87,36.8,28.5,47.2,1.43e-05,1.23e-05,1.75e-05,200,"5<U+00B1>0.01 lux",NA,"Y",2.82288,11.289781913656,8.82025636590632,-0.140412153716745,3.60549784517489,-11.1552510206984,1.42310833424261,-13.8155105579643,0.890206006064545,"until n = 6","npm","Lake Stechlin","Germany",NA,"runif(1,0.125,1)",53.4123603638727,3.97804218666994
"325","Ohlberger et al 2008 CJFAS",3,NA,"Fresh","Salmoniformes","Coregonus fontanae","Juvenile","Metazoan","Invertebrate","Crustacean","Cladoceran","Water flea","Daphnia magna","Adult?","Raw data","N",NA,8,NA,"1",NA,80000,4550,"Original species length","Genus",0.869,"Original species length","Order","m^3 per pred per day",0.84,34.2,26.3,44.3,1.98e-05,1.73e-05,2.27e-05,200,"5<U+00B1>0.01 lux",NA,"N",NA,11.289781913656,8.422882511945,-0.140412153716745,3.53222564406856,-10.8298286202638,1.37371557891303,-13.5923670066501,0.583757212618366,"until n = 6","npm","Lake Stechlin","Germany",NA,"runif(1,0.125,1)",35.025432757102,3.55607444780989
"326","Ohlberger et al 2008 CJFAS",3,NA,"Fresh","Salmoniformes","Coregonus albula","Juvenile","Metazoan","Invertebrate","Crustacean","Cladoceran","Water flea","Daphnia magna","Adult?","Raw data","N",NA,8,NA,"1",NA,80000,6770,"Original species length","Species",0.869,"Original species length","Order","m^3 per pred per day",0.89,22.4,17.4,29.4,1.76e-05,1.42e-05,2.15e-05,200,"0.5<U+00B1>0.02 lux",NA,"Y",2.82288,11.289781913656,8.82025636590632,-0.140412153716745,3.10906095886099,-10.9476116559202,0.916290731874155,-13.2848823069021,0.205982214392861,"until n = 6","npm","Lake Stechlin","Germany",NA,"runif(1,0.125,1)",12.3589328635717,2.51437911040348
"327","Ohlberger et al 2008 CJFAS",3,NA,"Fresh","Salmoniformes","Coregonus fontanae","Juvenile","Metazoan","Invertebrate","Crustacean","Cladoceran","Water flea","Daphnia magna","Adult?","Raw data","N",NA,8,NA,"1",NA,80000,4550,"Original species length","Genus",0.869,"Original species length","Order","m^3 per pred per day",0.86,19.2,13.8,24.6,2.14e-05,1.63e-05,2.65e-05,200,"0.5<U+00B1>0.02 lux",NA,"N",NA,11.289781913656,8.422882511945,-0.140412153716745,2.95491027903374,-10.7521196359365,0.993251773010283,-12.8794171987939,0.242750065663131,"until n = 6","npm","Lake Stechlin","Germany",NA,"runif(1,0.125,1)",14.5650039397879,2.6786216609083
"328","Ohlberger et al 2008 CJFAS",3,NA,"Fresh","Salmoniformes","Coregonus albula","Juvenile","Metazoan","Invertebrate","Crustacean","Cladoceran","Water flea","Daphnia magna","Adult?","Raw data","N",NA,8,NA,"1",NA,80000,6770,"Original species length","Species",0.869,"Original species length","Order","m^3 per pred per day",0.84,4.07,2.65,6.52,3.66e-05,1.63e-05,6.3e-05,200,"0.05<U+00B1>0.005 lux",NA,"Y",2.82288,11.289781913656,8.82025636590632,-0.140412153716745,1.4036429994545,-10.215462317557,-0.342490308946776,-11.4980368524765,0.162643309391569,"until n = 6","npm","Lake Stechlin","Germany",NA,"runif(1,0.125,1)",9.75859856349416,2.27814880030907
"329","Ohlberger et al 2008 CJFAS",3,NA,"Fresh","Salmoniformes","Coregonus fontanae","Juvenile","Metazoan","Invertebrate","Crustacean","Cladoceran","Water flea","Daphnia magna","Adult?","Raw data","N",NA,8,NA,"1",NA,80000,4550,"Original species length","Genus",0.869,"Original species length","Order","m^3 per pred per day",0.95,3.45,2.52,4.41,3.02e-05,1.71e-05,4.14e-05,200,"0.05<U+00B1>0.005 lux",NA,"N",NA,11.289781913656,8.422882511945,-0.140412153716745,1.23837423104327,-10.4076686335834,-0.765717873394781,-11.9360455083171,0.632086356403306,"until n = 6","npm","Lake Stechlin","Germany",NA,"runif(1,0.125,1)",37.9251813841984,3.63561530793109
"330","Persson and Greenberg 1990 ECOLOGY",3,NA,"Fresh","Perciformes","Perca fluviatilis","0+ year","Metazoan","Invertebrate","Crustacean","Cladoceran","Water flea","Daphnia spp.","Large","Mean","N",NA,NA,NA,NA,NA,124800000,945,"Alternate species length","Species",1.15,"Original species length","Order","m^3 per pred per day",0.97,187,172,201,1.07e-05,1.05e-05,1.09e-05,200,"Predator mass is wet weight",NA,"Y",1.397205,18.6422230138996,6.85118492749374,0.139761942375159,5.23110861685459,-11.4452668164964,2.01490302054226,-16.1180956509583,0.767692270972766,"10s-10m","nps","Sweden","Sweden",NA,"runif(1,0.02,10)",46.061536258366,3.82997824725287
"331","Persson and Greenberg 1990 ECOLOGY",3,NA,"Fresh","Perciformes","Perca fluviatilis","0+ year","Metazoan","Invertebrate","Crustacean","Cladoceran","Water flea","Daphnia spp.","Medium","Mean","N",NA,NA,NA,NA,NA,124800000,945,"Alternate species length","Species",0.203,"Original species length","Order","m^3 per pred per day",0.86,89.1,83.4,94.9,1.05e-05,1.02e-05,1.08e-05,200,"Predator mass is wet weight",NA,"Y",1.397205,18.6422230138996,6.85118492749374,-1.59454929994035,4.48975933447676,-11.4641353008008,1.04731899428056,-15.7126305428502,1.11021948384587,"10s-10m","nps","Sweden","Sweden",NA,"runif(1,0.02,10)",66.613169030752,4.19890229119419
"332","Persson and Greenberg 1990 ECOLOGY",3,NA,"Fresh","Perciformes","Perca fluviatilis","0+ year","Metazoan","Invertebrate","Crustacean","Cladoceran","Water flea","Daphnia spp.","Small","Mean","N",NA,NA,NA,NA,NA,124800000,945,"Alternate species length","Species",0.0297,"Original species length","Order","m^3 per pred per day",0.98,5.08,4.63,5.52,7.57e-06,6.66e-06,8.34e-06,200,"Predator mass is wet weight",NA,"Y",1.397205,18.6422230138996,6.85118492749374,-3.51660823317348,1.62531126159039,-11.7913174905149,-1.49165487677772,-14.6029684179955,0.289265401316807,"10s-10m","nps","Sweden","Sweden",NA,"runif(1,0.02,10)",17.3559240790084,2.85393389358962
"333","Hedgespeth et al 2014 AQUATIC TOXICOLOGY",3,NA,"Fresh","Perciformes","Perca fluviatilis","Juvenile, wild caught","Metazoan","Invertebrate","Crustacean","Cladoceran","Water flea","Daphnia magna","Adult?","Mean","N",12,12,NA,"1",NA,3500,945,"Original species length","Species",0.99,"Average species mass",NA,"m^3 per pred per day",0.28,8.07,6.33,10.6,2.44e-05,2.21e-05,2.68e-05,200,NA,NA,"Y",1.397205,8.1605182474775,6.85118492749374,-0.0100503358535015,2.08815348228186,-10.6209274256651,-0.139262067333508,-13.6757486155891,9.44992898635566,"until n = 5 or 20minutes","npm","Lake Krankesj?n","Sweden",NA,"runif(1,0.83,20)",566.99573918134,6.34035178902816
"334","Bergman 1987 ENVIRONMENTAL BIOLOGY OF FISHES",3,NA,"Fresh","Perciformes","Perca fluviatilis","Adult?","Metazoan","Invertebrate","Insect","Chaoboridae","Phantom midge","Chaoborus obscuripes","Adult?","Mean","N",40,20,NA,"2",NA,90000,12200,"Original species length","Species",8.69,"Alternate species length","Order","m^3 per pred per day",0.65,135,101,175,1.12e-05,9.51e-06,1.34e-05,200,"Predator mass is wet weight",NA,"Y",1.397205,11.4075649493124,9.40919123072135,2.1621729392773,4.90527477843843,-11.3995967796632,2.83321334405622,-13.9839292095892,0.83236228103051,"until  5 < n < 10","nps","Southern Sweden","Sweden",NA,"runif(1,0.15,1)",49.9417368618306,3.91085706321823
"335","Bergman 1987 ENVIRONMENTAL BIOLOGY OF FISHES",3,NA,"Fresh","Perciformes","Gymnocephalus cernua","Adult?","Metazoan","Invertebrate","Insect","Chaoboridae","Phantom midge","Chaoborus obscuripes","Adult?","Mean","N",40,20,NA,"2",NA,90000,15000,"Original species length","Species",8.69,"Alternate species length","Order","m^3 per pred per day",0.42,51.1,30.1,75.1,3.59e-05,2.95e-05,4.4e-05,200,"Predator mass is wet weight",NA,"Y",1.1475375,11.4075649493124,9.61580548008435,2.1621729392773,3.93378449720966,-10.23477326247,2.35137525716348,-12.6523597481586,0.230427660699934,"until  5 < n < 10","nps","Southern Sweden","Sweden",NA,"runif(1,0.15,1)",13.825659641996,2.6265262599769
"336","Bergman 1987 ENVIRONMENTAL BIOLOGY OF FISHES",3,NA,"Fresh","Perciformes","Perca fluviatilis","Adult?","Metazoan","Invertebrate","Insect","Chaoboridae","Phantom midge","Chaoborus obscuripes","Adult?","Mean","N",40,16,NA,"2",NA,90000,12200,"Original species length","Species",8.69,"Alternate species length","Order","m^3 per pred per day",0.57,213,132,326,1.18e-05,1.05e-05,1.32e-05,200,"Predator mass is wet weight",NA,"Y",1.397205,11.4075649493124,9.40919123072135,2.1621729392773,5.36129216570943,-11.3474110264927,3.70130197411249,-14.2462934740567,0.178250378724188,"until  5 < n < 10","nps","Southern Sweden","Sweden",NA,"runif(1,0.16,1)",10.6950227234513,2.36977846721199
"337","Bergman 1987 ENVIRONMENTAL BIOLOGY OF FISHES",3,NA,"Fresh","Perciformes","Gymnocephalus cernua","Adult?","Metazoan","Invertebrate","Insect","Chaoboridae","Phantom midge","Chaoborus obscuripes","Adult?","Mean","N",40,16,NA,"2",NA,90000,15000,"Original species length","Species",8.69,"Alternate species length","Order","m^3 per pred per day",0.65,17.1,11,28.2,3.72e-05,2.59e-05,4.82e-05,200,"Predator mass is wet weight",NA,"Y",1.1475375,11.4075649493124,9.61580548008435,2.1621729392773,2.83907846350861,-10.1992017966852,1.11514159061932,-12.0838550128059,0.887437252653763,"until  5 < n < 10","nps","Southern Sweden","Sweden",NA,"runif(1,0.16,1)",53.2462351592258,3.97492710085489
"338","Bergman 1987 ENVIRONMENTAL BIOLOGY OF FISHES",3,NA,"Fresh","Perciformes","Perca fluviatilis","Adult?","Metazoan","Invertebrate","Insect","Chaoboridae","Phantom midge","Chaoborus obscuripes","Adult?","Mean","N",40,12,NA,"2",NA,90000,12200,"Original species length","Species",8.69,"Alternate species length","Order","m^3 per pred per day",0.36,63.9,28,155,1.93e-05,1.16e-05,2.57e-05,200,"Predator mass is wet weight",NA,"Y",1.397205,11.4075649493124,9.40919123072135,2.1621729392773,4.15731936138349,-10.8554054620534,2.88759011493429,-12.4674374096646,0.678297034355346,"until  5 < n < 10","nps","Southern Sweden","Sweden",NA,"runif(1,0.23,1)",40.6978220613208,3.70617457900987
"339","Bergman 1987 ENVIRONMENTAL BIOLOGY OF FISHES",3,NA,"Fresh","Perciformes","Gymnocephalus cernua","Adult?","Metazoan","Invertebrate","Insect","Chaoboridae","Phantom midge","Chaoborus obscuripes","Adult?","Mean","N",40,13,NA,"2",NA,90000,15000,"Original species length","Species",8.69,"Alternate species length","Order","m^3 per pred per day",0.62,19.7,12.9,31.7,5.18e-05,4.35e-05,6.31e-05,200,"Predator mass is wet weight",NA,"Y",1.1475375,11.4075649493124,9.61580548008435,2.1621729392773,2.98061863574394,-9.86812040869884,1.22377543162212,-12.3924022237217,0.350728484059218,"until  5 < n < 10","nps","Southern Sweden","Sweden",NA,"runif(1,0.23,1)",21.0437090435531,3.04660165767305
"340","Bergman 1987 ENVIRONMENTAL BIOLOGY OF FISHES",3,NA,"Fresh","Perciformes","Perca fluviatilis","Adult?","Metazoan","Invertebrate","Insect","Chaoboridae","Phantom midge","Chaoborus obscuripes","Adult?","Mean","N",40,8,NA,"2",NA,90000,12200,"Original species length","Species",8.69,"Alternate species length","Order","m^3 per pred per day",0.18,274,154,712,3.32e-05,2.93e-05,3.9e-05,200,"Predator mass is wet weight",NA,"Y",1.397205,11.4075649493124,9.40919123072135,2.1621729392773,5.61312810638807,-10.3129606820418,4.0943445622221,-13.1476811853886,0.96584386038594,"until  5 < n < 10","nps","Southern Sweden","Sweden",NA,"runif(1,0.4,1.5)",57.9506316231564,4.05959146917686
"341","Bergman 1987 ENVIRONMENTAL BIOLOGY OF FISHES",3,NA,"Fresh","Perciformes","Gymnocephalus cernua","Adult?","Metazoan","Invertebrate","Insect","Chaoboridae","Phantom midge","Chaoborus obscuripes","Adult?","Mean","N",40,8,NA,"2",NA,90000,15000,"Original species length","Species",8.69,"Alternate species length","Order","m^3 per pred per day",0.42,48.3,31.8,78.1,5.31e-05,4.55e-05,6.3e-05,200,"Predator mass is wet weight",NA,"Y",1.1475375,11.4075649493124,9.61580548008435,2.1621729392773,3.87743156065853,-9.84333362971638,2.11021320034659,-12.4805094912319,1.43671043184586,"until  5 < n < 10","nps","Southern Sweden","Sweden",NA,"runif(1,0.4,1.5)",86.2026259107515,4.45670064020742
"342","Bergman 1987 ENVIRONMENTAL BIOLOGY OF FISHES",3,NA,"Fresh","Perciformes","Perca fluviatilis","Adult?","Metazoan","Invertebrate","Insect","Chaoboridae","Phantom midge","Chaoborus obscuripes","Adult?","Mean","N",40,4,NA,"2",NA,90000,12200,"Original species length","Species",8.69,"Alternate species length","Order","m^3 per pred per day",0.09,134,39.6,728,7.51e-05,6.11e-05,8.58e-05,200,"Predator mass is wet weight",NA,"Y",1.397205,11.4075649493124,9.40919123072135,2.1621729392773,4.89783979995091,-9.49668999919419,3.85439389259151,-11.869600408909,1.81115819879808,"until  5 < n < 10","nps","Southern Sweden","Sweden",NA,"runif(1,0.66,2)",108.669491927885,4.68831109169698
"343","Bergman 1987 ENVIRONMENTAL BIOLOGY OF FISHES",3,NA,"Fresh","Perciformes","Gymnocephalus cernua","Adult?","Metazoan","Invertebrate","Insect","Chaoboridae","Phantom midge","Chaoborus obscuripes","Adult?","Mean","N",40,4,NA,"2",NA,90000,15000,"Original species length","Species",8.69,"Alternate species length","Order","m^3 per pred per day",0.49,21.4,10.3,34.9,6.58e-05,4.85e-05,8.34e-05,200,"Predator mass is wet weight",NA,"Y",1.1475375,11.4075649493124,9.61580548008435,2.1621729392773,3.06339092202781,-9.628890719633,1.71379792775834,-11.6579512370205,1.48339203780983,"until  5 < n < 10","nps","Southern Sweden","Sweden",NA,"runif(1,0.66,2)",89.0035222685896,4.4886759450006
"344","Wellington et al 2010 J OF FISH BIOLOGY",3,NA,"Fresh","Perciformes","Perca flavescens","Larvae","Metazoan","Invertebrate",NA,NA,"Zooplankton",NA,"Adult?","Mean","N",20,19.8,NA,"3",NA,30000,99.5,"Original species length","Species",0.0275,"Alternate zooplankton mass","Zooplankton","m^3 per pred per day",0.46,0.0444,0.0127,0.147,0.000367,2.43e-11,0.000896,200,"Sedimentary turbidity, lake sediment, particles <75 micrometers",NA,"Y",1.23413,10.3089526606443,4.60015764416455,-3.59356927430961,-3.11451580954396,-7.9101487099097,-4.14458577865885,-8.60329595668219,1,NA,"nphp","Ohio","USA","aquaculture",NA,60,4.0943445622221
"345","Wellington et al 2010 J OF FISH BIOLOGY",3,NA,"Fresh","Perciformes","Perca flavescens","Larvae","Metazoan","Invertebrate",NA,NA,"Zooplankton",NA,"Adult?","Mean","N",20,19.8,NA,"3",NA,30000,99.5,"Original species length","Species",0.0275,"Alternate zooplankton mass","Zooplankton","m^3 per pred per day",0.42,0.0266,0.00803,0.116,0.000512,2.34e-11,0.00139,200,"Turbidity from phytoplankton supplemented with spinach slurry",NA,"Y",1.23413,10.3089526606443,4.60015764416455,-3.59356927430961,-3.62684406319448,-7.57718593292477,-4.67935508417747,-8.27033315918784,1,NA,"nphp","Ohio","USA","aquaculture",NA,60,4.0943445622221
"346","Wellington et al 2010 J OF FISH BIOLOGY",3,NA,"Fresh","Perciformes","Perca flavescens","Larvae","Metazoan","Invertebrate",NA,NA,"Zooplankton",NA,"Adult?","Mean","N",20,19.8,NA,"3",NA,30000,99.5,"Original species length","Species",0.0275,"Alternate zooplankton mass","Zooplankton","m^3 per pred per day",0.25,0.0785,0.00763,0.502,0.000845,2.33e-11,0.00142,200,"<5-20 NTU Sedimentary turbidity",NA,"Y",1.23413,10.3089526606443,4.60015764416455,-3.59356927430961,-2.54465665419377,-7.0761739306071,-3.34005524671992,-7.76932113874101,1,NA,"nphp","Ohio","USA","aquaculture",NA,60,4.0943445622221
"347","Wellington et al 2010 J OF FISH BIOLOGY",3,NA,"Fresh","Perciformes","Perca flavescens","Larvae","Metazoan","Invertebrate",NA,NA,"Zooplankton",NA,"Adult?","Mean","N",20,19.8,NA,"3",NA,30000,99.5,"Original species length","Species",0.0275,"Alternate zooplankton mass","Zooplankton","m^3 per pred per day",0.73,0.0315,0.0191,0.0639,0.000332,0.00018,0.000481,200,"50-100 NTU Sedimentary turbidity",NA,"Y",1.23413,10.3089526606443,4.60015764416455,-3.59356927430961,-3.45776773315055,-8.01037558904779,-5.08320598693109,-9.48477721767794,1,NA,"nphp","Ohio","USA","aquaculture",NA,60,4.0943445622221
"348","Wellington et al 2010 J OF FISH BIOLOGY",3,NA,"Fresh","Perciformes","Perca flavescens","Larvae","Metazoan","Invertebrate",NA,NA,"Zooplankton",NA,"Adult?","Mean","N",20,19.8,NA,"3",NA,30000,99.5,"Original species length","Species",0.0275,"Alternate zooplankton mass","Zooplankton","m^3 per pred per day",0.51,0.0343,0.0123,0.0959,0.000499,0.000202,0.000771,200,"<5-20 NTU Phytoplanktonic turbidity",NA,"Y",1.23413,10.3089526606443,4.60015764416455,-3.59356927430961,-3.37260992481024,-7.60290446221276,-4.50986000618377,-8.81492559972152,1,NA,"nphp","Ohio","USA","aquaculture",NA,60,4.0943445622221
"349","Wellington et al 2010 J OF FISH BIOLOGY",3,NA,"Fresh","Perciformes","Perca flavescens","Larvae","Metazoan","Invertebrate",NA,NA,"Zooplankton",NA,"Adult?","Mean","N",20,19.8,NA,"3",NA,30000,99.5,"Original species length","Species",0.0275,"Alternate zooplankton mass","Zooplankton","m^3 per pred per day",0.39,0.0279,0.0176,0.0607,0.000821,0.000613,0.00113,200,"50-100 NTU Phytoplanktonic turbidity",NA,"Y",1.23413,10.3089526606443,4.60015764416455,-3.59356927430961,-3.57912859015482,-7.10498744851185,-5.26875856430649,-9.1711196588229,1,NA,"nphp","Ohio","USA","aquaculture",NA,60,4.0943445622221
"350","Wellington et al 2010 J OF FISH BIOLOGY",3,NA,"Fresh","Perciformes","Perca flavescens","Juvenile","Metazoan","Invertebrate",NA,NA,"Zooplankton",NA,"Adult?","Mean","N",20,22.5,NA,"3",NA,30000,1320,"Original species length","Species",0.0275,"Alternate zooplankton mass","Zooplankton","m^3 per pred per day",0.59,0.0476,0.0192,0.127,0.000137,2.42e-11,0.000292,200,"Sedimentary turbidity, lake sediment, particles <75 micrometers",NA,"Y",1.23413,10.3089526606443,7.18538701558042,-3.59356927430961,-3.04492251774476,-8.89552963213615,-4.25451331437492,-9.58867698933845,1,NA,"nphp","Ohio","USA","aquaculture",NA,60,4.0943445622221
"351","Wellington et al 2010 J OF FISH BIOLOGY",3,NA,"Fresh","Perciformes","Perca flavescens","Juvenile","Metazoan","Invertebrate",NA,NA,"Zooplankton",NA,"Adult?","Mean","N",20,22.5,NA,"3",NA,30000,1320,"Original species length","Species",0.0275,"Alternate zooplankton mass","Zooplankton","m^3 per pred per day",0.43,0.0845,0.0249,0.341,0.000292,2.08e-12,0.00155,200,"Turbidity from phytoplankton supplemented with spinach slurry",NA,"Y",1.23413,10.3089526606443,7.18538701558042,-3.59356927430961,-2.47100374461901,-8.13875675569599,-3.51324688547078,-8.83190394337923,1,NA,"nphp","Ohio","USA","aquaculture",NA,60,4.0943445622221
"352","Wellington et al 2010 J OF FISH BIOLOGY",3,NA,"Fresh","Perciformes","Perca flavescens","Juvenile","Metazoan","Invertebrate",NA,NA,"Zooplankton",NA,"Adult?","Mean","N",20,22.5,NA,"3",NA,30000,1320,"Original species length","Species",0.0275,"Alternate zooplankton mass","Zooplankton","m^3 per pred per day",0.61,0.0329,0.0168,0.0669,2.47e-11,1.15e-12,0.000163,200,"<5-20 NTU Sedimentary turbidity",NA,"Y",1.23413,10.3089526606443,7.18538701558042,-3.59356927430961,-3.41428262121081,-24.4242178722946,-4.82208318755166,-25.1650424760261,1,NA,"nphp","Ohio","USA","aquaculture",NA,60,4.0943445622221
"353","Wellington et al 2010 J OF FISH BIOLOGY",3,NA,"Fresh","Perciformes","Perca flavescens","Juvenile","Metazoan","Invertebrate",NA,NA,"Zooplankton",NA,"Adult?","Mean","N",20,22.5,NA,"3",NA,30000,1320,"Original species length","Species",0.0275,"Alternate zooplankton mass","Zooplankton","m^3 per pred per day",0.6,0.0689,0.0283,0.175,0.000301,0.000104,0.000479,200,"50-100 NTU Sedimentary turbidity",NA,"Y",1.23413,10.3089526606443,7.18538701558042,-3.59356927430961,-2.67509910096252,-8.1084002932154,-3.8971343929344,-9.22545400978623,1,NA,"nphp","Ohio","USA","aquaculture",NA,60,4.0943445622221
"354","Wellington et al 2010 J OF FISH BIOLOGY",3,NA,"Fresh","Perciformes","Perca flavescens","Juvenile","Metazoan","Invertebrate",NA,NA,"Zooplankton",NA,"Adult?","Mean","N",20,22.5,NA,"3",NA,30000,1320,"Original species length","Species",0.0275,"Alternate zooplankton mass","Zooplankton","m^3 per pred per day",0.64,0.0427,0.0197,0.114,8.3e-05,1.16e-12,0.000755,200,"<5-20 NTU Phytoplanktonic turbidity",NA,"Y",1.23413,10.3089526606443,7.18538701558042,-3.59356927430961,-3.15355635874756,-9.39666995016768,-4.46540824361293,-10.0898171447035,1,NA,"nphp","Ohio","USA","aquaculture",NA,60,4.0943445622221
